Train Loss,Validation Loss,Validation Mean Iou,Validation Mean Accuracy,Validation Overall Accuracy,Validation Accuracy Unlabeled,Validation Accuracy Notlabeled,Validation Accuracy Otherclass,Validation Accuracy Contrail,Validation Iou Unlabeled,Validation Iou Notlabeled,Validation Iou Otherclass,Validation Iou Contrail,Epoch
0.2395,0.0367,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,0
0.0286,0.0204,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,1
0.0194,0.0156,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,2
0.0157,0.0144,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,3
0.0141,0.0137,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,4
0.0133,0.0132,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,5
0.0126,0.0125,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,6
0.0118,0.0117,0.2496,0.25,0.9983,0,1,0,0,0,0.9983,0,0,7
0.0112,0.011,0.2551,0.2555,0.9983,0,1,0.0222,0,0,0.9983,0.022,0,8
0.0106,0.0103,0.2744,0.2756,0.9983,0.018,1,0.0832,0.0013,0.0179,0.9983,0.0801,0.0013,9
0.01,0.0094,0.3172,0.3225,0.9983,0.0527,1,0.2344,0.003,0.0521,0.9983,0.2154,0.003,10
0.0091,0.0087,0.3117,0.3138,0.9983,0.1026,1,0.147,0.0055,0.1014,0.9983,0.1415,0.0055,11
0.0083,0.0076,0.3844,0.3941,0.9983,0.154,1,0.4189,0.0037,0.1516,0.9983,0.384,0.0037,12
0.0073,0.007,0.4402,0.4781,0.9983,0.1997,0.9999,0.6616,0.0511,0.1978,0.9983,0.5167,0.0479,13
0.0067,0.0062,0.5049,0.5454,0.9983,0.4868,1,0.6893,0.0057,0.4702,0.9983,0.5456,0.0056,14
0.006,0.0056,0.5133,0.5326,0.9983,0.4799,1,0.6283,0.0221,0.4722,0.9983,0.5608,0.0218,15
0.0055,0.0056,0.5975,0.6504,0.9984,0.7018,0.9999,0.8058,0.0942,0.6731,0.9984,0.6317,0.0868,16
0.0051,0.005,0.58,0.6003,0.9984,0.6893,0.9999,0.6644,0.0476,0.6707,0.9984,0.6048,0.0462,17
0.0048,0.0047,0.6598,0.6878,0.9984,0.8252,0.9998,0.7809,0.1453,0.8013,0.9984,0.7095,0.1298,18
0.0045,0.0045,0.6596,0.7122,0.9984,0.9057,0.9998,0.7739,0.1693,0.8117,0.9984,0.6774,0.1508,19
0.0042,0.0042,0.6956,0.7259,0.9985,0.8669,0.9998,0.8294,0.2074,0.8609,0.9985,0.7396,0.1835,20
0.0039,0.0045,0.6824,0.6971,0.9985,0.871,0.9999,0.7933,0.1243,0.8579,0.9985,0.7546,0.1186,21
